work,source_type,source_ref,place_text,normalized_place,place_type,city,region,country,confidence,context
"Beaux présents, belles absentes",pdf,94,Paris,Paris,city,Paris,Île-de-France,France,0.900,Tentative d'épuisement d'un lieu parisien
"Beaux présents, belles absentes",pdf,94,Ellis Island,Ellis Island,landmark,New York,New York,United States,0.900,"Ellis Island, POL, 1995"
"Beaux présents, belles absentes",pdf,95,Paris,Paris,city,Paris,Île-de-France,France,0.900,Mentioned as part of a publication by Gallimard.
"Beaux présents, belles absentes",pdf,95,Ajghanistan,Afghanistan,country,,,Afghanistan,0.800,Referenced in the title of a translation by Harry Marhews.
"Beaux présents, belles absentes",pdf,96,Condé-sur-Noireau,Conde-sur-Noireau,city,Condé-sur-Noireau,Normandy,France,0.900,Printing location mentioned in the document.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,10,cathédrale de Chartres,cathédrale de chartres,landmark,Chartres,Centre-Val de Loire,France,0.900,Historian for the presentation of the cathedral of Chartres.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,13,Saint-Antoine,Saint-Antoine,district,Paris,Île-de-France,France,0.900,"Faculté de médecine Saint-Antoine in Paris, France"
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,13,Paris,Paris,city,Paris,Île-de-France,France,1.000,Location of the Faculté de médecine
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,13,France,France,country,,,France,1.000,The country where the study took place
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,28,Bayreuth,Bayreuth,city,Bayreuth,Bavaria,Germany,0.900,Referenced in a scientific publication.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,28,Cambridge,Cambridge,city,Cambridge,Eastern England,United Kingdom,0.900,Mentioned as a location for a publication.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,28,Oxford,Oxford,city,Oxford,South East England,United Kingdom,0.900,Associated with a publication.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,28,Chateauneuf-en-Thymerais,Châteauneuf-en-Thymerais,city,Châteauneuf-en-Thymerais,Centre-Val de Loire,France,0.800,Cited in a study related to advanced studies.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,28,Covent Gard.,Covent Garden,district,London,Greater London,United Kingdom,0.850,Mentioned in relation to vocal performance.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,29,Amst,Amsterdam,city,Amsterdam,North Holland,Netherlands,0.900,"Reference to a publication linked to 'Akad. Wiss., Amst?'"
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,29,München,Munich,city,Munich,Bavaria,Germany,0.900,Mentioned in the Festschrift reference for Arturo Toscanini.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,30,Los Angeles,Los Angeles,city,Los Angeles,California,United States,0.900,Mentioned in relation to a publication.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,30,Rungis,Rungis,district,Rungis,Île-de-France,France,0.800,Referred to in a speech by Giscard d’Estaing.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,31,Basel,Basel,city,Basel,Basel-Stadt,Switzerland,0.950,Reference to a publication from Basel.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,31,Dijon,Dijon,city,Dijon,Bourgogne-Franche-Comté,France,0.950,Cited in a medical journal related to Dijon.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,31,Aunis & Saintonge,Aunis and Saintonge,region,,Nouvelle-Aquitaine,France,0.800,Mentioned in the context of a medical bulletin.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,32,Metropolitain,metropolitan,other,,,,0.800,the frightening reactions that accompanied first performances of // Trovatore at the Metropol.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,32,Rangoun,Yangon,city,Yangon,,Myanmar,0.900,"Mason, H.W. & Rangoun, S.W. Paratrigemina- loid musicalgia."
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,32,Springfield,Springfield,city,Springfield,Illinois,United States,0.900,"In: 2rd Conference on the Rimsky-Korsakoff syndrome, ed. by T. Thanos & P. Roxidase, Springfield."
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,32,Paris,Paris,city,Paris,Île-de-France,France,0.950,"Hommege a Henri Eiffel, ed. by D. Haux.&.D.. Bas, Paris."
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,33,Pompeiano,Pompeiano,other,,,,0.600,Referenced in a discussion about volcanic effects.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,33,Tataouine,Tataouine,city,Tataouine,,Tunisia,0.900,Cited in a study related to oto-rhinolaryngology.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,33,Berlin,Berlin,city,Berlin,,Germany,0.900,Mentioned in the context of a publication.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,33,Weimar,Weimar,city,Weimar,,Germany,0.900,Referenced in a discussion about musicology.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,34,Niamey,Niamey,city,Niamey,Niamey,Niger,0.950,Mentioned as a place in a publication title.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,34,San Francisco,San Francisco,city,San Francisco,California,United States,0.950,Mentioned in the context of a pHD thesis.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,34,San Diego,San Diego,city,San Diego,California,United States,0.950,Mentioned in the title of a journal article.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,34,Wimbledon,Wimbledon,district,London,Greater London,United Kingdom,0.900,Mentioned in the context of an academic article.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,35,Monte Carlo,Monte Carlo,district,Monaco,,Monaco,0.900,Reference to the Monte Carlo theorem.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,37,"Swetham, Mass.","Swatham, Massachusetts",city,Swatham,Massachusetts,USA,0.900,Mentioned as part of the affiliation of a department in one of the institutions.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,37,Canberra,Canberra,city,Canberra,,Australia,0.950,Mentioned as an affiliation for a department in another institution and also in relation to a grant.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,39,Londres,Londres,city,Londres,,Royaume-Uni,0.900,Mentionné comme la ville où des spécimens furent rapportés.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,39,Mélanésie,Mélanésie,region,,,,0.800,Mentionné en lien avec le voyage de collecte des spécimens.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,39,mer des Salomon,Mer des Salomon,natural_feature,,,,0.850,Mentionné comme la localisation des îles où les espèces sont répandues.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,39,Iputupi,Iputupi,other,,,,0.700,Mentionné comme l'île où certaines variétés hybrides semblent être attestées.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,40,archipel de la Louisiade,archipel de la Louisiade,region,,,Papua New Guinea,0.850,Mentioned as one of the smallest islands in the archipelago.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,40,Nouvelle-Guinée,Nouvelle-Guinée,country,,,Papua New Guinea,0.950,PUDATCH traveled to Nou-velle-Guinée in 1907.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,40,Amphlett,Amphlett,other,,,Papua New Guinea,0.800,PUDATCH visited the Amphlett islands.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,40,Misima,Misima,other,,,Papua New Guinea,0.800,PUDATCH traveled to Misima for research.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,40,îles d’Entrecasteaux,îles d’Entrecasteaux,other,,,Papua New Guinea,0.750,Explored during a third expedition.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,41,Singapour,Singapore,city,Singapore,,Singapore,0.900,A specimen of Cn was sold in 1928 in Singapore.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,41,Iputitupi,Iputitupi,other,,,,0.600,The lieutenant reported collecting specimens from Iputitupi.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,41,Amazonie,Amazon,region,,Amazon,Brazil,0.800,Examples found in Amazonie.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,42,Asie du Sud-Est,asie du sud-est,region,,,Asie,0.800,Mentioned in relation to the Institut de lépidoptérologie comparée.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,42,mer des Salomon,mer des salomon,natural_feature,,,,0.700,Mentioned in the context of the inventory of large Ornithoptera.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,42,district des îles Calvados,district des iles calvados,district,,,,0.600,Discussed in relation to the study of hybridization.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,43,Black River,Black River,river,,,,0.900,Mentioned in the context of population habitat and characteristics.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,43,île Buka (Salomon),Buka Island,other,,,Solomon Islands,0.800,Referenced as a location where a study on population density was conducted.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,45,Buka,Buka,city,Buka,,,0.800,Mentioned as part of a reference to a cycle in a study.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,45,Black River,Black River,river,,,,0.900,Referred to in the context of a valley where the population tends to climb.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,46,Iputi-putupitupi,Iputi Putupitupi,other,,,,0.800,The text refers to a potential migratory circuit related to the presence of bara’u in the fields of Iputi-putupitupi.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,46,Australia,Australia,country,,,Australia,0.900,The text mentions the Australian Authority for Agronomical Advancement.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,51,Archipel de la Louisiade,Archipel de la Louisiade,other,,,Papua New Guinea,0.900,Mentioned as a geographical feature.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,51,Mt Kokoma,Mount Kokoma,other,,,Papua New Guinea,0.800,Mentioned in relation to topographical features.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,55,South Seas,South Seas,region,,,,0.700,Wandering in the South Seas
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,55,New-Guinea,New Guinea,region,,,Papua New Guinea,0.900,distributional ecology of New-Guinea butterflies
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,55,Calvados Islands,Calvados Islands,other,,,France,0.800,Fauna and Flora of the Calvados Islands
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,55,Solomon Islands,Solomon Islands,country,,,Solomon Islands,0.950,Coscinoscera Victoria in Solomon Islands
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,57,Lille-Roubaix-Tourcoing,Lille Roubaix Tourcoing,district,Lille,Hauts-de-France,France,0.900,Mention of the Academy of Sciences in Lille-Roubaix-Tourcoing.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,57,Assemblée européenne,Assemblée européenne,landmark,,,Belgium,0.800,Marcel Gotlib's appointment to the European Assembly.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,57,France,France,country,,,France,1.000,Mention of France in relation to laureates and institutions.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,58,Coupole,Coupole,landmark,,,,0.700,Mentioned as the location where a meeting took place.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,58,Paris,Paris,city,Paris,Île-de-France,France,0.950,Paris is referenced as a location associated with a book.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,59,breton,Breton,region,,Bretagne,France,0.800,referenced in folklore
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,59,Saint-Goménolé,Saint-Goménolé,landmark,,Bretagne,France,0.900,referenced as a figure in folklore studies
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,61,Vaudouhé-lès-Gonesse,Vaudouhé-lès-Gonesse,other,Vaudouhé-lès-Gonesse,Île-de-France,France,0.900,Léon Burp et Marcel Gotlib étaient des amis de tous temps. Ils étaient tous deux nés à Vaudouhé-lès-Gonesse.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,61,Roubaix,Roubaix,city,Roubaix,Hauts-de-France,France,0.900,Condisciples au Grand Séminaire des Suisses à Roubaix.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,61,Côtes-du-Rhône,Côtes-du-Rhône,region,,Auvergne-Rhône-Alpes,France,0.800,Ils firent également partie ensemble de la chorale « Les Joyeux Rossignols des Côtes-du-Rhône ».
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,61,Autriche,Autriche,country,,,Austria,0.950,Léon Burp partit en Autriche suivre l’enseignement de Von Glütenschtummelhim-dôrf.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,62,Vaudoué,Vaudoué,other,,,,0.700,Mentioned as the location of Ferdinand Gotlib's marriage.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,62,Fouquet’s,Fouquet’s,building,Paris,Île-de-France,France,0.900,Referenced as the place where Marcel Gotlib burned his scripts.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,62,Paris,Paris,city,Paris,Île-de-France,France,1.000,The mentioned place where the film was released.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,63,Metropolitan Opera of New York,metropolitan opera of new york,building,New York,,United States,0.900,Nomination to the head of the Metropolitan Opera of New York.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,63,France,france,country,,,France,1.000,Returned to France after events at the opera.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,63,Zurich,zurich,city,Zurich,,Switzerland,0.800,Mention of a young tenor from Zurich.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,64,Malaga-Saint-Ouen,Malaga-Saint-Ouen,other,,,,0.800,Mentioned as the location of the Faculty of tropical biology.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,64,Paris,Paris,city,Paris,Île-de-France,France,1.000,Cited in a reference to physiological research published in a journal.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,65,Nil,Nil,river,,,Egypt,0.900,Note sur l’utilisation de Porcinus artiodactylis hippopotamus pour l'irrigation sur les bords du Nil.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,67,Heidelberg,Heidelberg,city,Heidelberg,Baden-Württemberg,Germany,0.900,It is mentioned as a location related to a scientific study.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,68,Besancon,Besançon,city,Besançon,Bourgogne-Franche-Comté,France,0.900,Romuald Saint-Sohaint naquit en 1802 a Besancon.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,69,Bucarest,Bucharest,city,Bucharest,București,Romania,0.900,mention of the Légation française à Bucarest
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,70,Charenton,Charenton,district,Charenton-le-Pont,Île-de-France,France,0.900,Refers to the asylum of Charenton.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,70,Saint-Sohaint,Saint-Sohaint,city,,,,0.700,Mentions the town regarding research on a specific cream pie.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,70,XIII arrondissement,13th arrondissement,district,Paris,Île-de-France,France,0.800,Refers to a street in the 13th arrondissement of Paris bearing a name.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,71,Beauce,Beauce,region,,,France,0.900,The text discusses the toponymic origins of Beauce.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,71,Notre-Dame de Chartres,Notre-Dame de Chartres,landmark,Chartres,Centre-Val de Loire,France,0.950,The text mentions Notre-Dame de Chartres.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,72,Beauce,beauce,region,,,France,0.900,La Beauce s’appelle Beauce parce qu’elle n’est pas plate.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,72,Carnac,carnac,other,,,France,0.800,les lointains ancêtres de ces hominiens «charnus» qui allaient devenir les Charnutes ou Carnutes délaissèrent leur monotone alignement de Carnac.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,72,Chartres,chartres,city,Chartres,,France,0.950,"le nom de Chartres vient de Carnutum Turres, c’est-à-dire « Tours des Carnutes »."
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,73,Dallas,Dallas,city,Dallas,,United States,0.950,Mentioned in a list of historical and cultural references.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,73,la Grande-Charteuse,la Grande Chartreuse,landmark,,,France,0.850,Referred to in the context of historical and cultural influences.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,74,Versailles,Versailles,city,Versailles,Île-de-France,France,0.900,Mentioned as a city along with other landmarks.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,74,Chartres,Chartres,city,Chartres,Centre-Val de Loire,France,0.900,Discussed in relation to its architectural styles.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,74,la Beauce,Beauce,region,,Centre-Val de Loire,France,0.800,Referenced in the context of the pronunciation relating to Bauhaus.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,74,Centre Georges-Pompidou,Centre Georges Pompidou,building,Paris,Île-de-France,France,0.850,Listed as one of the artistic jewels.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,74,l'aiguille Creuse,Aiguille Creuse,landmark,,,,0.700,Cited as a landmark among others.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,74,la Samaritaine,La Samaritaine,building,Paris,Île-de-France,France,0.850,Mentioned along with other notable places.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,75,Chartres,Chartres,city,Chartres,Centre-Val de Loire,France,0.900,"M. Barandard, ont fait de Chartres le modéle de toutes les architectures."
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,77,Venise,Venice,city,Venice,Veneto,Italy,0.900,Mentioned in relation to published works.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,77,Fitchwinder University,Fitchwinder University,building,,,,0.800,Location where manuscripts were discovered.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,78,Venise,Venice,city,Venice,Veneto,Italy,0.900,Imprimé à Venise en 1532 par Andrea Quarli.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,78,Paris,Paris,city,Paris,Île-de-France,France,0.900,"Acquis par M. Arnold Flexner à Paris, en 1936."
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,79,Venise,Venice,city,Venice,Veneto,Italy,0.900,La scène se passe à Venise à la fin du x1x° siècle.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,81,Dardanelles,dardanelles,river,,,Turkey,0.900,Mentioned in a comparison with Barde à Nesle.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,81,Pont-Euxin,pont euxin,river,,,Turkey,0.800,Referenced in the context of Marguerite de Bourgogne.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,81,Université de Nice,universite de nice,other,Nice,Provence-Alpes-Côte d'Azur,France,0.850,Cited in relation to a thesis on Roussel.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,82,lac Ontario,Lac Ontario,natural_feature,,,Canada,0.900,Mention of a title referencing a lake.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,82,Paris,Paris,city,Paris,Île-de-France,France,1.000,Reference to the sale of a book in Paris in 1936.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,82,Lyon,Lyon,city,Lyon,Auvergne-Rhône-Alpes,France,1.000,Mention of a bibliophile from Lyon.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,82,Italie,Italie,country,,,Italy,1.000,Reference to the origin of a collection of books in Italy.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,83,Turin,Turin,city,Turin,Piedmont,Italy,0.950,mention of a sale that took place in Turin in 1878
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,83,Venise,Venice,city,Venice,Veneto,Italy,0.950,"reference to a sale that occurred in Venice on September 17, 1895"
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,84,Venise,Venice,city,Venice,Veneto,Italy,0.900,Mention of a stay in Venice lasting about three weeks.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,84,Friedrichsbad,Friedrichsbad,other,,,,0.700,Mentioned as a place where an acquaintance was known.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,84,Bâle,Basel,city,Basel,Basel-Stadt,Switzerland,0.800,Mentioned as the location where an auction took place.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,84,Campo Bragadin,Campo Bragadin,street,Venice,Veneto,Italy,0.800,Mentioned as the location of the former Drasi palace.
Cantatrix sopranica L. : et autres écrits scientifiques,pdf,85,Trieste,Trieste,city,Trieste,Friuli-Venezia Giulia,Italy,0.900,Silvio fut tué accidentellement en 1922 au cours des émeutes de Trieste.
