work,source_type,source_ref,mention_text,normalized_text,mention_kind,spatial_type,usage,city,region,country,confidence,context
"Beaux Présents, Belles Absentes",pdf,25,coupole,coupole,generic_spatial_entity,building,literal,,,,0.800,le palais à la coupole.
"Beaux Présents, Belles Absentes",pdf,32,auberge du lac,auberge du lac,named_place,building,literal,,,,0.950,Cela urge! De l'audace! À l'auberge du lac.
"Beaux Présents, Belles Absentes",pdf,32,bauge barbelée,bauge barbelée,generic_spatial_entity,natural_feature,literal,,,,0.800,bercée de l'eau régale de la bauge barbelée.
"Beaux Présents, Belles Absentes",pdf,36,cimetière,cimetière,generic_spatial_entity,public_space,literal,,,,0.950,affrontant ce cimetière fané à n'en finir
"Beaux Présents, Belles Absentes",pdf,36,fenêtre,fenêtre,generic_spatial_entity,threshold,literal,,,,0.950,fenêtre offerte à notre mort feinte
"Beaux Présents, Belles Absentes",pdf,35,France,France,named_place,country,literal,,,France,0.950,À France Mitrofonoff
"Beaux Présents, Belles Absentes",pdf,35,cité-fantôme,cité-fantôme,named_place,other,metaphorical,,,,0.600,incarcéré en cette cité-fantôme
"Beaux Présents, Belles Absentes",pdf,35,ter terre,terre,generic_spatial_entity,natural_feature,literal,,,,0.800,ce côté terre-à-terre
"Beaux Présents, Belles Absentes",pdf,38,hall ocre de l'aérodrome local,aérodrome local,generic_spatial_entity,transport_space,literal,,,,0.800,Description of a calm scene in the text.
"Beaux Présents, Belles Absentes",pdf,38,Corne d'Or,Corne d'Or,named_place,natural_feature,literal,,,,0.950,Mentioned as part of a larger narrative.
"Beaux Présents, Belles Absentes",pdf,38,Marmara,Marmara,named_place,water,literal,,,Turquie,0.950,Part of the scenic references in the narrative.
"Beaux Présents, Belles Absentes",pdf,38,Chaldée,Chaldée,named_place,region,literal,,,,0.800,Used in a poetic sense in the context.
"Beaux Présents, Belles Absentes",pdf,38,monde,monde,generic_spatial_entity,other,metaphorical,,,,0.600,Used to evoke a broader conceptual space.
"Beaux Présents, Belles Absentes",pdf,38,Achéron,Achéron,named_place,natural_feature,metaphorical,,,,0.800,Mentioned as a metaphoric reference.
"Beaux Présents, Belles Absentes",pdf,40,la ville carnaval,ville carnaval,generic_spatial_entity,other,metaphorical,,,,0.800,il verra venir la ville carnaval...
"Beaux Présents, Belles Absentes",pdf,40,l'île vicinale,île vicinale,named_place,other,metaphorical,,,,0.800,vienne l'île vicinale...
"Beaux Présents, Belles Absentes",pdf,41,Leeds,Leeds,named_place,city,literal,Leeds,,Royaume-Uni,0.950,"près de Leeds, des Indiennes gelées dépensent en ginseng les dernières sterlings"
"Beaux Présents, Belles Absentes",pdf,41,l'entrée des églises,entrée des églises,generic_spatial_entity,threshold,literal,,,,0.800,près de l'entrée des églises des interprètes intrépides espèrent entendre les Sélénites
"Beaux Présents, Belles Absentes",pdf,39,la ville à l'infini,la ville,generic_spatial_entity,other,metaphorical,,,,0.800,la ville à l'infini
"Beaux Présents, Belles Absentes",pdf,39,la ville fécale,la ville,generic_spatial_entity,other,metaphorical,,,,0.800,la ville fécale
"Beaux Présents, Belles Absentes",pdf,39,le café-calva,café-calva,named_place,commercial_space,literal,Paris,,France,0.950,le café-calva en face le ciné l'avenir
"Beaux Présents, Belles Absentes",pdf,39,la ville en vacance,la ville,generic_spatial_entity,other,metaphorical,,,,0.800,la ville en vacance
"Beaux Présents, Belles Absentes",pdf,39,la ville vaccinée,la ville,generic_spatial_entity,other,metaphorical,,,,0.800,la ville vaccinée
"Beaux Présents, Belles Absentes",pdf,39,la ville écaillée,la ville,generic_spatial_entity,other,metaphorical,,,,0.800,la ville écaillée
"Beaux Présents, Belles Absentes",pdf,39,la ville varicelle,la ville,generic_spatial_entity,other,metaphorical,,,,0.800,la ville varicelle
"Beaux Présents, Belles Absentes",pdf,39,la ville calvaire,la ville,generic_spatial_entity,other,metaphorical,,,,0.800,la ville calvaire
"Beaux Présents, Belles Absentes",pdf,39,la ville avariée,la ville,generic_spatial_entity,other,metaphorical,,,,0.800,la ville avariée
"Beaux Présents, Belles Absentes",pdf,44,Paris,Paris,named_place,city,literal,Paris,,France,0.950,Il reste les stries de réglisse de neige le léger liséré gris des lignites le lent périple et le peintre persiste et signe Paris 7-6-80
"Beaux Présents, Belles Absentes",pdf,43,Indes,Indes,named_place,country,metaphorical,,,,0.600,"Le réel n'est ni l'éternité négligente des Indes, des Iles et des steppes."
"Beaux Présents, Belles Absentes",pdf,43,Iles,Iles,generic_spatial_entity,country,metaphorical,,,,0.600,"Le réel n'est ni l'éternité négligente des Indes, des Iles et des steppes."
"Beaux Présents, Belles Absentes",pdf,43,steppes,steppes,generic_spatial_entity,natural_feature,metaphorical,,,,0.600,"Le réel n'est ni l'éternité négligente des Indes, des Iles et des steppes."
"Beaux Présents, Belles Absentes",pdf,43,pentes,pentes,generic_spatial_entity,natural_feature,literal,,,,0.800,petites pentes en tes sentiers tigrés.
"Beaux Présents, Belles Absentes",pdf,47,l'escale,escale,generic_spatial_entity,transport_space,literal,,,,0.950,jusqu'à l'escale et l'écluse
"Beaux Présents, Belles Absentes",pdf,47,l'écluse,écluse,generic_spatial_entity,transport_space,literal,,,,0.950,jusqu'à l'escale et l'écluse
"Beaux Présents, Belles Absentes",pdf,47,la vallée suave,vallée,generic_spatial_entity,natural_feature,literal,,,,0.950,jusqu'à la vallée suave
"Beaux Présents, Belles Absentes",pdf,46,l'Escaut,l'Escaut,named_place,water,literal,,,,0.950,Mentioned among various historical and cultural references.
"Beaux Présents, Belles Absentes",pdf,46,Calcutta,Calcutta,named_place,city,literal,Calcutta,,Inde,0.950,Mentioned with various cultural allusions.
"Beaux Présents, Belles Absentes",pdf,46,les caves,caves,generic_spatial_entity,other,literal,,,,0.800,Part of a description of a lived experience.
"Beaux Présents, Belles Absentes",pdf,46,la salle lavée au jet,salle,generic_spatial_entity,room,literal,,,,0.800,Describing a physical setting.
"Beaux Présents, Belles Absentes",pdf,49,Gange,Gange,named_place,water,metaphorical,,,,0.800,"m'endormir dans ma main de Gange, de Niger"
"Beaux Présents, Belles Absentes",pdf,49,Niger,Niger,named_place,water,metaphorical,,,,0.800,"m'endormir dans ma main de Gange, de Niger"
"Beaux Présents, Belles Absentes",pdf,49,casernes,casernes,generic_spatial_entity,building,literal,,,,0.950,armoires casiers cadenas casernes grises
"Beaux Présents, Belles Absentes",pdf,55,lit nuptial,lit nuptial,generic_spatial_entity,micro_place,literal,,,,0.950,destiné à accompagner les époux jusqu'au lit nuptial
"Beaux Présents, Belles Absentes",pdf,53,Vénise,Vénise,named_place,city,literal,Vénise,,Italie,0.950,Adieu à Vénise
"Beaux Présents, Belles Absentes",pdf,53,VENISE,Vénise,named_place,city,literal,Vénise,,Italie,0.950,Suis sans vie à Vénise
"Beaux Présents, Belles Absentes",pdf,53,VENISE,Vénise,named_place,city,literal,Vénise,,Italie,0.950,Adieu Vénise vide de sens
"Beaux Présents, Belles Absentes",pdf,53,VENISE,Vénise,named_place,city,literal,Vénise,,Italie,0.950,Adieu Vénise devenue ennui
"Beaux Présents, Belles Absentes",pdf,57,table,table,generic_spatial_entity,micro_place,literal,,,,0.950,"la main et le piano, la table et la chaise"
"Beaux Présents, Belles Absentes",pdf,57,chaise,chaise,generic_spatial_entity,micro_place,literal,,,,0.950,"la main et le piano, la table et la chaise"
"Beaux Présents, Belles Absentes",pdf,57,hôpital,hôpital,generic_spatial_entity,building,literal,,,,0.950,l'hôpital et le silence
"Beaux Présents, Belles Absentes",pdf,50,Saïgon,Saïgon,named_place,city,literal,Saïgon,,Vietnam,0.950,"Saïgon, Macao, Indonésie, Madagascar"
"Beaux Présents, Belles Absentes",pdf,50,Macao,Macao,named_place,city,literal,Macao,,Macao,0.950,"Saïgon, Macao, Indonésie, Madagascar"
"Beaux Présents, Belles Absentes",pdf,50,Indonésie,Indonésie,named_place,country,literal,,,Indonésie,0.950,"Saïgon, Macao, Indonésie, Madagascar"
"Beaux Présents, Belles Absentes",pdf,50,Madagascar,Madagascar,named_place,country,literal,,,Madagascar,0.950,"Saïgon, Macao, Indonésie, Madagascar"
"Beaux Présents, Belles Absentes",pdf,50,des Sargasses,la mer des Sargasses,named_place,water,literal,,,,0.950,ma migraine de mer des Sargasses
"Beaux Présents, Belles Absentes",pdf,50,MnongGar,MnongGar,named_place,other,literal,,,,0.800,"MnongGar gardiens de ma mémoire, mémoires de ma race"
"Beaux Présents, Belles Absentes",pdf,50,magasins,magasins,generic_spatial_entity,commercial_space,literal,,,,0.800,à décrire sans cesse ces magasins d'ignames
"Beaux Présents, Belles Absentes",pdf,50,granges,granges,generic_spatial_entity,building,literal,,,,0.800,"ces granges de racines grises, ces sacs de graines"
"Beaux Présents, Belles Absentes",pdf,58,la campagne,la campagne,generic_spatial_entity,other,literal,,,,0.950,le soleil illumine la campagne
"Beaux Présents, Belles Absentes",pdf,58,la place Saint-Sulpice,place Saint-Sulpice,named_place,square,literal,Paris,,France,0.950,au Tabac de la place Saint-Sulpice
"Beaux Présents, Belles Absentes",pdf,59,Popocatepetl,Popocatepetl,named_place,natural_feature,literal,,,,0.800,ses alpinistes à l'assaut du Popocatepetl
"Beaux Présents, Belles Absentes",pdf,59,Mississipi,Mississippi,named_place,water,literal,,,,0.800,ses canoëistes enthousiastes descendant le Mississipi
"Beaux Présents, Belles Absentes",pdf,59,maison,maison,generic_spatial_entity,domestic_space,literal,,,,0.950,un oiseau chante tout en haut de la maison
"Beaux Présents, Belles Absentes",pdf,59,cheminée,cheminée,generic_spatial_entity,domestic_space,literal,,,,0.950,les chars et les chiens somnolent à côté de la cheminée
"Beaux Présents, Belles Absentes",pdf,63,Iénisséi,Iénisséi,named_place,water,literal,,,,0.950,descendant l'Iénisséi sur des canots en écorce de bouleau
"Beaux Présents, Belles Absentes",pdf,63,Ballon d'Alsace,Ballon d'Alsace,named_place,natural_feature,literal,,Alsace,France,0.950,à l'assaut du Ballon d'Alsace
"Beaux Présents, Belles Absentes",pdf,63,Bronx,Bronx,named_place,district,literal,New York,New York,États-Unis,0.950,dans un Delikatessen du Bronx
"Beaux Présents, Belles Absentes",pdf,63,bibliothèque,bibliothèque,generic_spatial_entity,room,literal,,,,0.800,dans la bibliothèque à côté du dictionnaire de Bescherelle
"Beaux Présents, Belles Absentes",pdf,62,île de la Cité,île de la Cité,named_place,other,literal,Paris,,France,0.950,le soleil brille au-dessus de l'île de la Cité
"Beaux Présents, Belles Absentes",pdf,62,Sacré-Cœur,Sacré-Cœur,named_place,building,literal,Paris,,France,0.950,les touristes accablés escaladent les escaliers du Sacré-Cœur
"Beaux Présents, Belles Absentes",pdf,62,rue de la Huchette,rue de la Huchette,named_place,street,literal,Paris,,France,0.950,"rue de la Huchette, des Hollandaises en blue-jeans jouent du banjo et du biniou"
"Beaux Présents, Belles Absentes",pdf,62,rue Saint-Louis-en-l'Île,rue Saint-Louis-en-l'Île,named_place,street,literal,Paris,,France,0.950,au Tabac de la rue Saint-Louis-en-l'Île
"Beaux Présents, Belles Absentes",pdf,62,océans insondables,océans,generic_spatial_entity,water,metaphorical,,,,0.600,ses océans insondables
"Beaux Présents, Belles Absentes",pdf,62,lacs,lacs,generic_spatial_entity,water,metaphorical,,,,0.600,"ses lacs, ses steppes, ses cours d'eau"
"Beaux Présents, Belles Absentes",pdf,64,la Croix du Sud,la Croix du Sud,named_place,other,literal,,,,0.950,et que la Croix du Sud les salue
"Beaux Présents, Belles Absentes",pdf,64,l'Étoile du Berger,l'Étoile du Berger,named_place,other,literal,,,,0.950,et que l'Étoile du Berger les salue
"Beaux Présents, Belles Absentes",pdf,67,rade de Madère,rade de Madère,named_place,water,literal,,,,0.800,Armada amarrée en rade de Madère
"Beaux Présents, Belles Absentes",pdf,67,arbre d'ébène,arbre d'ébène,generic_spatial_entity,natural_feature,metaphorical,,,,0.600,Arbre d'ébène
"Beaux Présents, Belles Absentes",pdf,67,méandre de marbre,méandre de marbre,generic_spatial_entity,natural_feature,metaphorical,,,,0.600,Méandre de marbre
"Beaux Présents, Belles Absentes",pdf,69,bordure de ma demeure,bordure de ma demeure,generic_spatial_entity,domestic_space,literal,,,,0.950,Noue en bordure de ma demeure
"Beaux Présents, Belles Absentes",pdf,72,ma demeure,demeure,generic_spatial_entity,domestic_space,literal,,,,0.950,au marbre de ma demeure
"Beaux Présents, Belles Absentes",pdf,72,chambre,chambre,generic_spatial_entity,room,literal,,,,0.950,Babouche au coin de ma chambre
"Beaux Présents, Belles Absentes",pdf,72,rue du Maroc,rue du Maroc,named_place,street,literal,Paris,,France,0.950,"Dimanche, rue du Maroc"
"Beaux Présents, Belles Absentes",pdf,71,Mandchourie,Mandchourie,named_place,region,literal,,Mandchourie,,0.950,un marché en Mandchourie
"Beaux Présents, Belles Absentes",pdf,71,ma rue du Caire,rue du Caire,named_place,street,literal,Caire,,Égypte,0.950,Mémoire de ma rue du Caire
"Beaux Présents, Belles Absentes",pdf,71,Cerbère,Cerbère,named_place,city,literal,Cerbère,,France,0.950,du marin de Cerbère
"Beaux Présents, Belles Absentes",pdf,71,mer de carbone,mer de carbone,generic_spatial_entity,water,metaphorical,,,,0.600,au bord d'une mer de carbone
"Beaux Présents, Belles Absentes",pdf,74,colline laconique,colline laconique,generic_spatial_entity,natural_feature,metaphorical,,,,0.600,"elle éclaire la colline laconique,"
"Beaux Présents, Belles Absentes",pdf,74,chenal,chenal,generic_spatial_entity,natural_feature,literal,,,,0.800,"le chenal, la houle,"
"Beaux Présents, Belles Absentes",pdf,74,lac,lac,generic_spatial_entity,water,literal,,,,0.800,"le lac, la cascade,"
"Beaux Présents, Belles Absentes",pdf,74,cascade,cascade,generic_spatial_entity,natural_feature,literal,,,,0.800,"le lac, la cascade,"
"Beaux Présents, Belles Absentes",pdf,74,dédale las des salles,dédale,generic_spatial_entity,building,metaphorical,,,,0.600,"le dédale las des salles de classe,"
"Beaux Présents, Belles Absentes",pdf,81,îles,îles,generic_spatial_entity,natural_feature,metaphorical,,,,0.800,"Désir d'îles et de déserts, de dater le temps et la pierre..."
"Beaux Présents, Belles Absentes",pdf,81,déserts,déserts,generic_spatial_entity,natural_feature,metaphorical,,,,0.800,"Désir d'îles et de déserts, de dater le temps et la pierre..."
"Beaux Présents, Belles Absentes",pdf,81,terre,terre,generic_spatial_entity,natural_feature,metaphorical,,,,0.800,d'aller à l'immédiateté limpide de la terre.
"Beaux Présents, Belles Absentes",pdf,79,table,table,generic_spatial_entity,micro_place,literal,,,,0.950,Table rase: la réalité établie résiste...
"Beaux Présents, Belles Absentes",pdf,79,terre,terre,generic_spatial_entity,natural_feature,literal,,,,0.950,sème ses rites émiettés parmi la terre trempée...
"Beaux Présents, Belles Absentes",pdf,79,arbre,arbre,generic_spatial_entity,natural_feature,literal,,,,0.950,"la réalité établie résiste, l'arbre, le sable..."
"Beaux Présents, Belles Absentes",pdf,79,sable,sable,generic_spatial_entity,natural_feature,literal,,,,0.950,"la réalité établie résiste, l'arbre, le sable..."
"Beaux Présents, Belles Absentes",pdf,79,marbre,marbre,generic_spatial_entity,natural_feature,literal,,,,0.950,"la réalité établie résiste, l'arbre, le sable, le marbre..."
"Beaux Présents, Belles Absentes",pdf,79,terre,terre,generic_spatial_entity,natural_feature,literal,,,,0.950,la terre blême...
"Beaux Présents, Belles Absentes",pdf,84,vallée fertile,vallée fertile,generic_spatial_entity,natural_feature,metaphorical,,,,0.600,"La vitesse est strie et ivresse, rêve éveillé, fièvre, vallée fertile."
"Beaux Présents, Belles Absentes",pdf,84,escalier de service,escalier de service,generic_spatial_entity,other,literal,,,,0.950,cigarette rubis escalier de service pudding glacière fairlane ligne continue
"Beaux Présents, Belles Absentes",pdf,85,bond street,Bond Street,named_place,street,literal,Londres,,Royaume-Uni,0.950,Mentioned in a list of items including brands and styles.
"Beaux Présents, Belles Absentes",pdf,85,Paris,Paris,named_place,city,literal,Paris,,France,0.950,"Paris, septembre /980"
"Beaux Présents, Belles Absentes",pdf,93,Paris,Paris,named_place,city,literal,Paris,,France,0.950,Georges Perec est mort à Paris le 3 mars 1982.
"Beaux Présents, Belles Absentes",pdf,93,cour,cour,generic_spatial_entity,public_space,literal,,,,0.800,Quel petit vélo Il guidon chromé au fond de la cour?
"Beaux Présents, Belles Absentes",pdf,89,Paris,Paris,named_place,city,literal,Paris,,France,0.950,Mentioned in bibliographical references.
"Beaux Présents, Belles Absentes",pdf,89,Cérisols,Cérisols,named_place,other,literal,,,,0.800,Mentioned as a location in publication details.
"Beaux Présents, Belles Absentes",pdf,89,Villeneuve-lès-Avignon,Villeneuve-lès-Avignon,named_place,city,literal,Villeneuve-lès-Avignon,,France,0.950,Referenced as the location of a publication.
"Beaux Présents, Belles Absentes",pdf,89,École normale supérieure de Saint-Cloud,École normale supérieure de Saint-Cloud,named_place,institution,literal,Saint-Cloud,,France,0.950,Mentioned in bibliographical references.
"Beaux Présents, Belles Absentes",pdf,89,Hachette,Hachette,named_place,commercial_space,literal,,,,0.600,Referenced as a publisher in publication details.
"Beaux Présents, Belles Absentes",pdf,89,Maison du livre et des mots,Maison du livre et des mots,named_place,institution,literal,Villeneuve-lès-Avignon,,France,0.800,Mentioned as a location in publication details.
"Beaux Présents, Belles Absentes",pdf,90,Paris,Paris,named_place,city,literal,Paris,,France,0.950,cite d'une anthologie d'une nouvelle poésie avec Paris comme lieu de publication.
"Beaux Présents, Belles Absentes",pdf,90,Toulouse,Toulouse,named_place,city,literal,Toulouse,,France,0.950,mention de Toulouse comme lieu dans une anthologie.
"Beaux Présents, Belles Absentes",pdf,90,Australia,Australie,named_place,country,literal,,,Australie,0.950,mention d'Australie en lien avec une lettre adressée à C. B.
"Beaux Présents, Belles Absentes",pdf,90,Brisbane,Brisbane,named_place,city,literal,Brisbane,,Australie,0.950,mention de Brisbane en lien avec une date et une lettre à C. B.
"Beaux Présents, Belles Absentes",pdf,90,Bibliothèque,Bibliothèque,generic_spatial_entity,institution,literal,,,,0.800,la mention de Bibliothèque dans un contexte d'épithalames.
"Beaux Présents, Belles Absentes",pdf,95,Mabillon,Mabillon,named_place,square,literal,Paris,,France,0.950,l'écriture des rêves. lèntluive de description de choses vues au carrefour Mabillon le 19 mai 1978
"Beaux Présents, Belles Absentes",pdf,94,Paris,Paris,named_place,city,literal,Paris,Île-de-France,France,0.950,Tentative d'épuisement d'un lieu parisien
"Beaux Présents, Belles Absentes",pdf,94,Ellis Island,Ellis Island,named_place,other,literal,,,,0.950,"Ellis Island, POL, 1995"
"Beaux Présents, Belles Absentes",pdf,94,cabinet,cabinet,generic_spatial_entity,room,literal,,,,0.800,"Un cabinet d'amateur, Seuil"
Cantatrix sopranica L. et autres écrits scientifiques,pdf,10,cathédrale de Chartres,cathédrale de Chartres,named_place,building,literal,Chartres,Centre-Val de Loire,France,0.950,historien pour présenter la cathédrale de Chartres.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,13,Faculté de médecine Saint-Antoine,Faculté de médecine Saint-Antoine,named_place,institution,literal,Paris,,France,0.950,Mention of the location where the experimental demonstration takes place.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,13,Paris,Paris,named_place,city,literal,Paris,,France,0.950,Indication of the city where the laboratory is located.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,13,France,France,named_place,country,literal,,,France,0.950,Indication of the country where Paris is located.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,32,Paris,Paris,named_place,city,literal,Paris,Île-de-France,France,0.950,"Hommege a Henri Eiffel, ed. by D. Haux.&.D.. Bas, Paris."
Cantatrix sopranica L. et autres écrits scientifiques,pdf,37,Iputupi,Iputupi,named_place,other,literal,,,,0.800,Distribution spatio-temporelle de Coscinoscera nigrostriata d’Iputupi
Cantatrix sopranica L. et autres écrits scientifiques,pdf,37,"Swetham, Mass., USA","Swetham, Mass., USA",named_place,city,literal,Swetham,Massachusetts,USA,0.950,"Department of comparative Entomology Fitchwinder University (Swetham, Mass., USA)"
Cantatrix sopranica L. et autres écrits scientifiques,pdf,37,Canberra,Canberra,named_place,city,literal,Canberra,,Australia,0.950,Department of mathematical Biology University of Canberra (Australia)
Cantatrix sopranica L. et autres écrits scientifiques,pdf,39,Londres,Londres,named_place,city,literal,Londres,,Royaume-Uni,0.950,Les premiers spécimens de Coscinoscera furent rapportés en 1902 à Londres.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,39,Mélanésie,Mélanésie,named_place,region,literal,,,,0.800,au retour de son troisième voyage en Mélanésie.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,39,mer des Salomon,mer des Salomon,named_place,water,literal,,,,0.800,répandues dans toutes les iles de la mer des Salomon.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,39,Iputupi,Iputupi,named_place,other,literal,,,,0.950,semblaient n’étre attestées que sur Iputupi.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,40,l’archipel de la Louisiade,archipel de la Louisiade,named_place,natural_feature,literal,,,,0.950,mention of the archipelago where Barton found a specimen
Cantatrix sopranica L. et autres écrits scientifiques,pdf,40,Nouvelle-Guinée,Nouvelle-Guinée,named_place,country,literal,,,Papouasie-Nouvelle-Guinée,0.950,Pudatch traveled to Nou-velle-Guinée in 1907
Cantatrix sopranica L. et autres écrits scientifiques,pdf,40,les îles d’En- trecasteaux,îles d'Entrecasteaux,named_place,natural_feature,literal,,,,0.950,mention of another location explored by Cervini's expedition
Cantatrix sopranica L. et autres écrits scientifiques,pdf,40,les Amphlett,Amphlett,named_place,natural_feature,literal,,,,0.950,Pudatch traveled to the Amphlett Islands in 1907
Cantatrix sopranica L. et autres écrits scientifiques,pdf,41,Singapour,Singapour,named_place,city,literal,Singapour,,Singapour,0.950,"un second spécimen de Cn, indisputable, mais d’origine non précisée, avait été vendu en 1928 à Singapour"
Cantatrix sopranica L. et autres écrits scientifiques,pdf,41,Iputitupi,Iputitupi,named_place,other,literal,,,,0.800,le lieutenant australien Palmerston rapporta d’Iputitupi 17 très beaux exemplaires de Cp
Cantatrix sopranica L. et autres écrits scientifiques,pdf,41,Amazonie,Amazonie,named_place,region,literal,,Amazonie,,0.800,dont quelques autres exemples venaient d’être trouvés en Amazonie
Cantatrix sopranica L. et autres écrits scientifiques,pdf,42,district des îles Calvados,district des îles Calvados,named_place,district,literal,,,,0.800,l'Institut de lépidoptérologie comparée de l’Asie du Sud-Est entreprit l'inventaire des grands Ornithoptères de la mer des Salomon et nous chargea du district des îles Calvados.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,42,mer des Salomon,mer des Salomon,named_place,water,literal,,,,0.800,l'Institut de lépidoptérologie comparée de l’Asie du Sud-Est entreprit l'inventaire des grands Ornithoptères de la mer des Salomon.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,42,îles Calvados,îles Calvados,named_place,natural_feature,literal,,,,0.800,nous chargea du district des îles Calvados.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,46,Iputi-putupitupi,Iputi-putupitupi,named_place,other,literal,,,,0.950,un circuit migratoire éventuel de Cr à partir des cas de bara’u constatés dans les champs d’ignames d’Iputi-putupitupi.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,43,Black River,Black River,named_place,water,literal,,,,0.800,Cv est massive- ment installé dans la vallée et la plaine de la Black River.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,43,île Buka,île Buka,named_place,other,literal,,,Salomon,0.800,sur une période de dix ans le comportement des Cy de l’ile Buka (Salomon)
Cantatrix sopranica L. et autres écrits scientifiques,pdf,43,vallée,vallée,generic_spatial_entity,natural_feature,literal,,,,0.800,Cv est massive- ment installé dans la vallée et la plaine de la Black River.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,43,plaine,plaine,generic_spatial_entity,natural_feature,literal,,,,0.800,Cv est massive- ment installé dans la vallée et la plaine de la Black River.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,51,Archipel de la Louisiade,Archipel de la Louisiade,named_place,natural_feature,literal,,,,0.950,Mention of the geographical feature Archipel de la Louisiade.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,51,marais,marais,generic_spatial_entity,natural_feature,literal,,,,0.800,Mention of types of wetlands typically found in geographical contexts.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,51,Baie,Baie,generic_spatial_entity,natural_feature,literal,,,,0.800,"Reference to a bay, a common coastal feature."
Cantatrix sopranica L. et autres écrits scientifiques,pdf,58,la Coupole,la Coupole,named_place,building,literal,Paris,,France,0.950,En le recevant vendredi dernier à la Coupole.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,62,Vaudouhé,Vaudouhé,named_place,city,literal,Vaudouhé,,,0.950,"le mariage de Ferdinand Gotlib, un des cousins de Marcel, à Vaudouhé"
Cantatrix sopranica L. et autres écrits scientifiques,pdf,62,terrasse du Fouquet’s,terrasse du Fouquet's,named_place,commercial_space,literal,Paris,,France,0.950,brûlant symboliquement devant la terrasse du Fouquet’s
Cantatrix sopranica L. et autres écrits scientifiques,pdf,62,parisiens,Paris,generic_spatial_entity,city,literal,Paris,,France,0.800,lorsque sortit sur les écrans parisiens
Cantatrix sopranica L. et autres écrits scientifiques,pdf,61,Vaudouhé-lès-Gonesse,Vaudouhé-lès-Gonesse,named_place,city,literal,Vaudouhé-lès-Gonesse,Île-de-France,France,0.950,Ils étaient tous deux nés à Vaudouhé-lès-Gonesse.
Cantatrix sopranica L. et autres écrits scientifiques,pdf,61,Roubaix,Roubaix,named_place,city,literal,Roubaix,Hauts-de-France,France,0.950,Condisciples au Grand Séminaire des Suisses à Roubaix.
